Vietnamese,English,Vietnamese_Sentence,English_Sentence
cổng,port,Cổng vào trường học rất đẹp.,The port to the school is very beautiful.
lớn,large,Có một cái bàn lớn trong phòng.,There is a large table in the room.
chính tả,spell,Hãy kiểm tra chính tả của bạn.,Please check your spelling.
thêm,add,Tôi muốn thêm đường vào trà.,I want to add sugar to the tea.
thậm chí,even,Cô ấy thậm chí không nói lời nào.,She didn't even say a word.
đất,land,Chúng ta cần bảo vệ đất đai.,We need to protect the land.
ở đây,here,Tôi sống ở đây từ lâu.,I have lived here for a long time.
phải,must,Bạn phải hoàn thành bài tập trước khi đi.,You must finish your homework before going.
lớn,big,Con chó của tôi rất lớn.,My dog is very big.
cao,high,Cây này rất cao.,This tree is very high.
như vậy,such,Đó là một ngày như vậy đẹp.,It is such a beautiful day.
theo,follow,Tôi sẽ theo bạn đến trường.,I will follow you to school.
hành động,act,Bạn cần hành động ngay bây giờ.,You need to act right now.
lý do tại sao,why,Bạn có biết lý do tại sao không?,Do you know why?
xin,ask,Xin cho tôi một ly nước.,Please ask for a glass of water.
người đàn ông,men,Người đàn ông đó rất cao.,That man is very tall.
thay đổi,change,Chúng ta cần thay đổi cách làm việc.,We need to change the way we work.
đi,went,Tôi đã đi đến chợ hôm qua.,I went to the market yesterday.
ánh sáng,light,Ánh sáng từ mặt trời rất đẹp.,The light from the sun is very beautiful.
loại,kind,Tôi thích loại trái cây này.,I like this kind of fruit.
tắt,off,Xin hãy tắt đèn khi ra ngoài.,Please turn off the light when you go out.
cần,need,Tôi cần một vài phút để nghĩ.,I need a few minutes to think.
nhà,house,Nhà của tôi rất ấm cúng.,My house is very cozy.
hình ảnh,picture,Tôi đã chụp một hình ảnh đẹp.,I took a beautiful picture.
thử,try,"Hãy thử món ăn này, nó rất ngon.","Try this dish, it's very delicious."
chúng tôi,us,Chúng tôi sẽ đi du lịch vào mùa hè.,Us will travel in the summer.
một lần nữa,again,Tôi muốn nghe bài hát đó một lần nữa.,I want to hear that song again.
động vật,animal,Tôi yêu thích động vật hoang dã.,I love wild animals.
điểm,point,Điểm của bài kiểm tra rất cao.,The point of the test is very high.
mẹ,mother,Mẹ tôi nấu ăn rất giỏi.,My mother cooks very well.
thế giới,world,Thế giới này có nhiều điều kỳ diệu.,This world has many wonders.
gần,near,Nhà tôi gần trường học.,My house is near the school.
xây dựng,build,Chúng ta sẽ xây dựng một ngôi nhà mới.,We will build a new house.
tự,self,Tôi cần tự chăm sóc bản thân.,I need to take care of myself.
đất,earth,Đất là nguồn sống của mọi sinh vật.,The earth is the source of life for all creatures.
cha,father,Cha tôi rất yêu thương gia đình.,My father loves the family very much.
bất kỳ,any,Bạn có thể chọn bất kỳ cuốn sách nào.,You can choose any book.
mới,new,Tôi vừa mua một chiếc xe mới.,I just bought a new car.
công việc,work,Công việc của tôi rất thú vị.,My work is very interesting.
một phần,part,Tôi chỉ muốn làm một phần trong dự án này.,I only want to do a part in this project.
có,take,Bạn có thể lấy cái này không?,Can you take this?
được,get,Tôi muốn được gặp bạn hôm nay.,I want to get to see you today.
nơi,place,Đây là nơi tôi lớn lên.,This is the place where I grew up.
thực hiện,made,Chúng tôi đã thực hiện một bộ phim hay.,We made a great movie.
sống,live,Tôi muốn sống ở thành phố này mãi mãi.,I want to live in this city forever.
nơi,where,Đây là nơi tôi đã gặp anh ấy.,This is where I met him.
sau khi,after,"Sau khi ăn xong, chúng ta sẽ đi dạo.","After eating, we will take a walk."
trở lại,back,Tôi sẽ trở lại trong vài phút.,I will be back in a few minutes.
ít,little,Tôi có một ít tiền trong túi.,I have a little money in my pocket.
chỉ,only,Tôi chỉ muốn một ly nước.,I only want a glass of water.
chung quanh,round,Chúng ta đi bộ chung quanh công viên.,We walk round the park.
người đàn ông,man,Người đàn ông đó là bạn của tôi.,That man is my friend.
năm,year,Năm nay tôi 25 tuổi.,This year I am 25 years old.
đến,came,Cô ấy đã đến muộn một giờ.,She came an hour late.
chương trình,show,Chương trình truyền hình này rất thú vị.,This TV show is very interesting.
mỗi,every,Mỗi tuần tôi đi tập gym.,I go to the gym every week.
tốt,good,Hôm nay là một ngày tốt đẹp.,Today is a good day.
tôi,me,Tôi rất thích đọc sách.,I really like to read books.
cung cấp cho,give,Họ cung cấp cho tôi thông tin cần thiết.,They give me the necessary information.
của chúng tôi,our,Đây là nhà của chúng tôi.,This is our house.
dưới,under,Con mèo đang ngủ dưới bàn.,The cat is sleeping under the table.
tên,name,Tên của tôi là Minh.,My name is Minh.
rất,very,Hôm nay trời rất đẹp.,The weather is very nice today.
thông qua,through,Chúng ta đã giao tiếp thông qua email.,We communicated through email.
chỉ,just,Tôi chỉ muốn nói lời cảm ơn.,I just want to say thank you.
hình thức,form,Hãy điền vào hình thức này.,Please fill out this form.
câu,sentence,Đây là một câu đơn giản.,This is a simple sentence.
tuyệt vời,great,Buổi tiệc hôm qua thật tuyệt vời!,The party yesterday was great!
nghi,think,Tôi nghĩ rằng bạn nên thử.,I think you should try.
nói,say,Bạn có thể nói lại điều đó không?,Can you say that again?
giúp,help,Bạn có thể giúp tôi một tay không?,Can you help me out?
thấp,low,Giá sách này quá thấp.,This bookshelf is too low.
dòng,line,Hãy đứng xếp hàng theo dòng.,Please stand in line.
khác nhau,differ,Cách làm của chúng tôi khác nhau.,Our methods differ.
lần lượt,turn,Chúng ta sẽ lần lượt nói chuyện.,We will take turns speaking.
nguyên nhân,cause,Nguyên nhân của vấn đề là rõ ràng.,The cause of the problem is clear.
nhiều,much,Tôi không có nhiều thời gian.,I do not have much time.
có nghĩa là,mean,Từ này có nghĩa là gì?,What does this word mean?
trước,before,Tôi đã đến đây trước bạn.,I arrived here before you.
di chuyển,move,Chúng ta cần di chuyển nhanh hơn.,We need to move faster.
ngay,right,Hãy đến đây ngay bây giờ.,Come here right now.
cậu bé,boy,Cậu bé đó rất thông minh.,That boy is very smart.
cũ,old,Chiếc xe này đã rất cũ.,This car is very old.
quá,too,Cái áo này quá chật.,This shirt is too tight.
như nhau,same,Chúng ta đều có cảm xúc như nhau.,We all have the same feelings.
cô,she,Cô ấy là giáo viên của tôi.,She is my teacher.
tất cả,all,Tất cả mọi người đều vui vẻ trong bữa tiệc.,All the people were happy at the party.
có,there,Có một con mèo trên mái nhà.,There is a cat on the roof.
khi,when,"Khi trời mưa, tôi thích ở nhà.","When it rains, I like to stay home."
lên,up,Cô ấy đã leo lên cây rất cao.,She climbed up the very tall tree.
sử dụng,use,Tôi sẽ sử dụng điện thoại để gọi cho bạn.,I will use my phone to call you.
của bạn,your,"Đây là sách của bạn, hãy giữ gìn nó.","This is your book, please take care of it."
cách,way,Có nhiều cách để học tiếng Anh.,There are many ways to learn English.
về,about,Tôi muốn nói về chuyến đi của chúng ta.,I want to talk about our trip.
nhiều,many,Có nhiều loại trái cây ở chợ.,There are many kinds of fruit at the market.
sau đó,then,"Chúng ta ăn trưa, sau đó đi dạo.","We had lunch, then went for a walk."
họ,them,Họ đang chơi bóng đá ở công viên.,They are playing soccer in the park.
viết,write,Tôi sẽ viết một bức thư cho bạn.,I will write a letter to you.
sẽ,would,Tôi sẽ đi nếu trời không mưa.,I would go if it doesn't rain.
như,like,Cô ấy hát như một thiên thần.,She sings like an angel.
để,so,Tôi học chăm chỉ để có điểm cao.,I study hard so I can get high grades.
các,these,Các bạn hãy xem những bức tranh này.,These are the pictures you should look at.
cô,her,Cô ấy là bạn thân nhất của tôi.,She is my best friend.
lâu,long,Tôi đã chờ đợi lâu rồi.,I have been waiting for a long time.
làm,make,Tôi sẽ làm bánh cho bữa tiệc.,I will make a cake for the party.
điều,thing,Điều quan trọng là phải chăm sóc sức khỏe.,The important thing is to take care of your health.
thấy,see,Tôi thấy một con chó dễ thương ở công viên.,I see a cute dog in the park.
anh,him,Tôi đã gặp anh ấy ở trường hôm qua.,I met him at school yesterday.
hai,two,Tôi có hai cái bánh quy trong túi.,I have two cookies in my bag.
có,has,Cô ấy có một con mèo rất đáng yêu.,She has a very cute cat.
xem,look,"Hãy xem bức tranh này, nó rất đẹp.","Look at this picture, it is very beautiful."
hơn,more,Tôi cần nhiều hơn một chút.,I need a little more.
ngày,day,Hôm nay là một ngày đẹp trời.,Today is a beautiful day.
có thể,could,Tôi có thể giúp bạn không?,Could I help you?
đi,go,Chúng ta sẽ đi đến công viên.,We will go to the park.
đến,come,Bạn đến đây vào lúc mấy giờ?,What time will you come here?
đã làm,did,Tôi đã làm bài tập xong.,I did my homework.
số,number,Số điện thoại của tôi là 0123456789.,My phone number is 0123456789.
âm thanh,sound,Âm thanh này rất dễ chịu.,This sound is very pleasant.
không có,no,Tôi không có thời gian hôm nay.,I have no time today.
nhất,most,Đây là món ăn ngon nhất.,This is the most delicious dish.
nhân dân,people,Nhân dân cần được lắng nghe.,The people need to be heard.
của tôi,my,Đây là cuốn sách của tôi.,This is my book.
hơn,over,Tôi đã đi bộ hơn một giờ.,I walked for over an hour.
biết,know,Bạn có biết địa chỉ mới không?,Do you know the new address?
nước,water,Tôi cần một ly nước lạnh.,I need a glass of cold water.
hơn,than,Cô ấy cao hơn tôi.,She is taller than me.
gọi,call,Tôi sẽ gọi cho bạn sau.,I will call you later.
đầu tiên,first,Đây là lần đầu tiên tôi đến đây.,This is my first time here.
người,who,Người này là bạn của tôi.,This person is my friend.
có thể,may,Bạn có thể đến dự tiệc nhé?,You may come to the party.
xuống,down,Bạn hãy xuống dưới cầu thang.,Please come down the stairs.
bên,side,Tôi đứng bên cạnh cô ấy.,I stood by her side.
được,been,Tôi đã được mời đến bữa tiệc.,I have been invited to the party.
bây giờ,now,Bây giờ tôi đang học tiếng Anh.,Now I am studying English.
tìm,find,Tôi cần tìm chìa khóa của mình.,I need to find my keys.
đầu,head,Cô ấy bị đau ở đầu sau khi ngã.,She has a headache after falling down.
đứng,stand,Anh ta đứng chờ xe buýt dưới mưa.,He stands waiting for the bus in the rain.
riêng,own,Tôi muốn có một căn nhà riêng của mình.,I want to have my own house.
trang,page,Hãy lật trang tiếp theo của cuốn sách.,Please turn to the next page of the book.
nên,should,Bạn nên ăn nhiều trái cây và rau củ.,You should eat more fruits and vegetables.
nước,country,Việt Nam là một nước đẹp với nhiều phong cảnh.,Vietnam is a beautiful country with many landscapes.
tìm thấy,found,Tôi đã tìm thấy chiếc chìa khóa trong túi.,I found the key in my bag.
câu trả lời,answer,Câu trả lời cho bài toán rất đơn giản.,The answer to the problem is very simple.
trường,school,Trường của tôi có nhiều hoạt động thú vị.,My school has many interesting activities.
phát triển,grow,Cây cần ánh sáng để phát triển tốt.,Plants need sunlight to grow well.
nghiên cứu,study,Chúng tôi sẽ nghiên cứu về các loài động vật biển.,We will study about marine animals.
vẫn,still,Tôi vẫn chưa quyết định đi đâu vào cuối tuần.,I still haven't decided where to go this weekend.
học,learn,Trẻ em nên học những điều mới mỗi ngày.,Children should learn new things every day.
nhà máy,plant,Nhà máy sản xuất ô tô mới mở cửa ở đây.,The new car plant opened here.
bìa,cover,Bìa sách này rất đẹp và hấp dẫn.,This book cover is very beautiful and attractive.
thực phẩm,food,Thực phẩm sạch rất tốt cho sức khỏe.,Clean food is very good for health.
ánh nắng mặt trời,sun,Ánh nắng mặt trời chiếu sáng cả khu vườn.,The sun shines brightly over the garden.
bốn,four,Tôi có bốn chiếc bánh để chia sẻ.,I have four cakes to share.
giữa,between,Cái bàn nằm giữa hai chiếc ghế.,The table is between the two chairs.
nhà nước,state,Nhà nước cần hỗ trợ những người khó khăn.,The state needs to support those in need.
giữ,keep,Hãy giữ gìn sạch sẽ nơi công cộng.,Please keep public places clean.
mắt,eye,Mắt tôi bị cận thị và cần kính.,My eye is nearsighted and needs glasses.
không bao giờ,never,Tôi không bao giờ uống cà phê vào buổi tối.,I never drink coffee in the evening.
cuối cùng,last,"Cuối cùng, chúng tôi cũng đã hoàn thành dự án.","At last, we have completed the project."
cho phép,let,Bố mẹ cho phép tôi đi chơi vào cuối tuần.,My parents let me go out on the weekend.
nghĩ,thought,Tôi nghĩ rằng hôm nay trời sẽ đẹp.,I thought that today the weather would be nice.
thành phố,city,Hà Nội là một thành phố rất đông đúc.,Hanoi is a very crowded city.
cây,tree,Cây này đã sống hơn một trăm năm.,This tree has lived for over a hundred years.
qua,cross,Chúng ta cần qua đường để đến trường.,We need to cross the road to get to school.
trang trại,farm,Ông tôi có một trang trại nuôi gà.,My grandfather has a farm that raises chickens.
cứng,hard,Đá này rất cứng và khó để cắt.,This stone is very hard and difficult to cut.
bắt đầu,start,Chúng ta sẽ bắt đầu cuộc họp lúc 9 giờ.,We will start the meeting at 9 o'clock.
might,might,Tôi nghĩ rằng nó might sẽ mưa hôm nay.,I think it might rain today.
câu chuyện,story,Câu chuyện này rất thú vị và cảm động.,This story is very interesting and touching.
cưa,saw,Tôi cần một cái cưa để cắt gỗ.,I need a saw to cut the wood.
đến nay,far,"Đến nay, tôi đã học tiếng Anh được hai năm.","So far, I have been learning English for two years."
biển,sea,Biển xanh thật đẹp vào mùa hè.,The blue sea is beautiful in the summer.
vẽ,draw,Em bé thích vẽ tranh vào buổi chiều.,The child loves to draw pictures in the afternoon.
còn lại,left,Tôi chỉ còn lại một ít tiền trong ví.,I only have a little money left in my wallet.
cuối,late,Chúng ta đến cuối buổi tiệc khá muộn.,We arrived at the end of the party quite late.
chạy,run,Tôi thường chạy bộ vào buổi sáng.,I usually run in the morning.
không,don’t,Tôi không thích ăn cá.,I don’t like to eat fish.
trong khi,while,Tôi nghe nhạc trong khi làm bài tập.,I listen to music while doing my homework.
báo chí,press,Báo chí có trách nhiệm đưa tin chính xác.,The press has the responsibility to report accurately.
gần,close,Nhà tôi rất gần trường học.,My house is very close to the school.
đêm,night,Đêm qua trời có mưa to.,Last night it rained heavily.
thực,real,Đó là một giấc mơ thực sự đáng nhớ.,That was a truly memorable dream.
cuộc sống,life,Cuộc sống luôn có những điều bất ngờ.,Life always has surprises.
số,few,Có số ít người đến tham dự sự kiện.,A few people attended the event.
phía bắc,north,Hà Giang nằm ở phía bắc Việt Nam.,Hà Giang is located in the north of Vietnam.
cuốn sách,book,Tôi đang đọc một cuốn sách thú vị.,I am reading an interesting book.
thực hiện,carry,Chúng tôi sẽ thực hiện kế hoạch này ngay bây giờ.,We will carry out this plan right now.
mất,took,Cô ấy đã mất rất nhiều thời gian để hoàn thành bài tập.,She took a lot of time to finish the homework.
khoa học,science,Khoa học giúp chúng ta hiểu thế giới xung quanh.,Science helps us understand the world around us.
ăn,eat,Tôi thích ăn phở vào buổi sáng.,I like to eat pho in the morning.
phòng,room,Phòng của tôi rất gọn gàng và sạch sẽ.,My room is very tidy and clean.
người bạn,friend,Người bạn của tôi rất thân thiện và vui tính.,My friend is very friendly and funny.
bắt đầu,began,Chúng tôi bắt đầu học tiếng Anh từ năm ngoái.,We began learning English last year.
ý tưởng,idea,Tôi có một ý tưởng hay cho dự án này.,I have a good idea for this project.
cá,fish,Cá là món ăn yêu thích của tôi.,Fish is my favorite food.
núi,mountain,Chúng ta có thể leo núi vào cuối tuần này.,We can climb the mountain this weekend.
ngăn chặn,stop,Chúng ta cần ngăn chặn ô nhiễm môi trường.,We need to stop environmental pollution.
một lần,once,Tôi đã đi Paris một lần trong đời.,I have been to Paris once in my life.
cơ sở,base,Cơ sở dữ liệu này rất quan trọng cho công việc của chúng ta.,This database is very important for our work.
nghe,hear,Tôi không thể nghe thấy âm thanh này.,I can't hear this sound.
ngựa,horse,Ngựa là loài vật rất đẹp và mạnh mẽ.,The horse is a very beautiful and strong animal.
cắt,cut,Tôi cần cắt giấy để làm thiệp.,I need to cut the paper to make a card.
chắc chắn,sure,Tôi chắc chắn rằng tôi đã để chìa khóa ở đây.,I am sure I left the keys here.
xem,watch,Tối nay tôi sẽ xem một bộ phim hay.,I will watch a good movie tonight.
màu,color,Màu xanh là màu yêu thích của tôi.,Blue is my favorite color.
khuôn mặt,face,Khuôn mặt của cô ấy luôn rạng rỡ nụ cười.,Her face always shines with a smile.
gỗ,wood,Chiếc bàn này được làm bằng gỗ tự nhiên.,This table is made of natural wood.
chính,main,Mục tiêu chính của chúng ta là hoàn thành dự án đúng hạn.,Our main goal is to complete the project on time.
mở,open,Xin hãy mở cửa sổ để không khí trong lành vào.,Please open the window to let fresh air in.
dường như,seem,Trời dường như sẽ mưa hôm nay.,It seems like it will rain today.
cùng,together,Chúng ta sẽ đi đến trường cùng nhau.,We will go to school together.
tiếp theo,next,Bài học tiếp theo sẽ rất thú vị.,The next lesson will be very interesting.
trắng,white,Bông hoa này có màu trắng rất đẹp.,This flower is a very beautiful white.
trẻ em,children,Trẻ em thích chơi đùa ở công viên.,Children love to play in the park.
bắt đầu,begin,Chúng ta sẽ bắt đầu cuộc họp lúc 10 giờ.,We will begin the meeting at 10 o'clock.
có,got,Tôi có một ý tưởng hay cho dự án.,I got a good idea for the project.
đi bộ,walk,Tôi thường đi bộ đến trường mỗi ngày.,I usually walk to school every day.
Ví dụ,example,Cô giáo đã đưa ra một ví dụ rõ ràng.,The teacher gave a clear example.
giảm bớt,ease,Chúng ta cần giảm bớt căng thẳng trong công việc.,We need to ease the stress at work.
giấy,paper,Tôi cần một tờ giấy để viết thư.,I need a piece of paper to write a letter.
nhóm,group,Chúng ta sẽ làm việc theo nhóm trong dự án này.,We will work in a group for this project.
luôn luôn,always,Tôi luôn luôn học bài mỗi tối.,I always study in the evening.
nhạc,music,Tôi thích nghe nhạc khi làm bài tập.,I like to listen to music while doing homework.
những,those,Những bức tranh này rất đẹp.,Those paintings are very beautiful.
cả hai,both,Cả hai người đều đã đến đúng giờ.,Both of them arrived on time.
đánh dấu,mark,Hãy đánh dấu câu trả lời đúng trên giấy.,Please mark the correct answer on the paper.
thường,often,Tôi thường đi xem phim vào cuối tuần.,I often go to the movies on weekends.
thư,letter,Tôi đã viết một thư cho bạn của mình.,I wrote a letter to my friend.
cho đến khi,until,Chúng tôi sẽ chờ cho đến khi trời sáng.,We will wait until it gets light.
dặm,mile,Chúng tôi đã đi bộ một dặm đến trường.,We walked a mile to school.
sông,river,Con sông này rất rộng và đẹp.,This river is very wide and beautiful.
xe,car,Chiếc xe của tôi đã bị hỏng hôm qua.,My car broke down yesterday.
chân,feet,Chân tôi đã đau sau khi chạy bộ.,My feet hurt after running.
chăm sóc,care,Chúng ta cần chăm sóc cây cối trong vườn.,We need to care for the plants in the garden.
thứ hai,second,Thứ hai là ngày đầu tuần.,Monday is the second day of the week.
đủ,enough,Tôi đã ăn đủ để không còn đói.,I have eaten enough to no longer be hungry.
đồng bằng,plain,Đồng bằng sông Cửu Long rất rộng lớn.,The Mekong Delta plain is very vast.
cô gái,girl,Cô gái đó rất thông minh và vui vẻ.,That girl is very smart and cheerful.
thông thường,usual,Hôm nay là một ngày thông thường.,Today is just a usual day.
trẻ,young,Cô ấy rất trẻ so với tuổi của mình.,She is very young for her age.
sẵn sàng,ready,Tôi đã sẵn sàng cho cuộc thi này.,I am ready for this competition.
trên đây,above,Hình ảnh trên đây rất đẹp.,The picture above is very beautiful.
bao giờ,ever,Bạn có bao giờ đi du lịch nước ngoài không?,Have you ever traveled abroad?
màu đỏ,red,Cô ấy thích mặc áo màu đỏ.,She likes to wear a red shirt.
danh sách,list,Tôi đã tạo một danh sách những việc cần làm.,I made a list of things to do.
mặc dù,though,"Mặc dù trời mưa, chúng tôi vẫn đi dạo.","Though it was raining, we still went for a walk."
cảm thấy,feel,Tôi cảm thấy rất vui hôm nay.,I feel very happy today.
nói chuyện,talk,Chúng ta nên nói chuyện về kế hoạch của mình.,We should talk about our plans.
chim,bird,Chim hót rất hay vào buổi sáng.,The bird sings beautifully in the morning.
sớm,soon,Tôi sẽ trở về nhà sớm.,I will go home soon.
cơ thể,body,Cơ thể cần nước để hoạt động tốt.,The body needs water to function well.
con chó,dog,Con chó của tôi rất thân thiện.,My dog is very friendly.
gia đình,family,Gia đình tôi luôn ủng hộ tôi.,My family always supports me.
trực tiếp,direct,Chúng ta cần nói chuyện trực tiếp với nhau.,We need to talk to each other directly.
đặt ra,pose,Họ đặt ra nhiều câu hỏi thú vị.,They pose many interesting questions.
lại,leave,Tôi sẽ lại rời đi vào cuối tuần.,I will leave again this weekend.
bài hát,song,Bài hát này thật sự rất hay.,This song is really beautiful.
đo lường,measure,Chúng ta cần đo lường chính xác chiều dài.,We need to measure the length accurately.
cửa,door,Cửa ra vào luôn mở vào buổi sáng.,The door is always open in the morning.
sản phẩm,product,Sản phẩm này rất chất lượng.,This product is of very good quality.
đen,black,Màu sắc yêu thích của tôi là màu đen.,My favorite color is black.
ngắn,short,Tôi thích những câu chuyện ngắn.,I like short stories.
chữ số,numeral,Chữ số đầu tiên trong số là 1.,The first numeral in the number is 1.
lớp,class,Lớp học của tôi rất thú vị.,My class is very interesting.
gió,wind,Gió thổi mạnh vào mùa hè.,The wind blows hard in the summer.
câu hỏi,question,Câu hỏi của bạn rất hay.,Your question is very good.
xảy ra,happen,Điều bất ngờ sẽ xảy ra vào hôm nay.,An unexpected thing will happen today.
hoàn thành,complete,Tôi đã hoàn thành bài tập về nhà.,I have completed my homework.
tàu,ship,Con tàu lớn đang cập bến.,The large ship is docking.
khu vực,area,Khu vực này rất đông đúc.,This area is very crowded.
một nửa,half,Tôi đã ăn một nửa cái bánh.,I ate half of the cake.
đá,rock,Cái đá này rất nặng.,This rock is very heavy.
để,order,Tôi muốn để món ăn này.,I want to order this dish.
lửa,fire,Lửa trong bếp đã tắt.,The fire in the kitchen is out.
nam,south,Chúng ta sẽ đi về phía nam.,We will go to the south.
vấn đề,problem,Tôi có một vấn đề cần giải quyết.,I have a problem to solve.
mảnh,piece,Cho tôi một mảnh giấy.,Give me a piece of paper.
nói,told,Cô ấy đã nói với tôi điều đó.,She told me that.
biết,knew,Tôi biết rằng bạn sẽ đến.,I knew you would come.
vượt qua,pass,Tôi đã vượt qua kỳ thi.,I passed the exam.
từ,since,Tôi sống ở đây từ năm 2010.,I have lived here since 2010.
đầu,top,Anh ấy đứng ở đầu danh sách.,He is at the top of the list.
toàn bộ,whole,Tôi đã xem toàn bộ bộ phim.,I watched the whole movie.
vua,king,Vua đã truyền cảm hứng cho nhân dân.,The king inspired the people.
đường phố,street,Đường phố này rất đẹp vào ban đêm.,This street is very beautiful at night.
inch,inch,Chiếc bàn này dài hai inch.,This table is two inches long.
nhân,multiply,Chúng ta cần nhân số này với hai.,We need to multiply this number by two.
không có gì,nothing,Tôi không có gì để nói hôm nay.,I have nothing to say today.
Tất nhiên,course,"Tất nhiên, tôi sẽ giúp bạn với bài tập.","Of course, I will help you with the homework."
ở lại,stay,Tôi muốn ở lại thêm một ngày.,I want to stay one more day.
bánh xe,wheel,Bánh xe của xe đạp bị hỏng.,The bike's wheel is broken.
đầy đủ,full,Cái chai này đã đầy đủ nước.,This bottle is full of water.
lực,force,Lực này quá mạnh để di chuyển.,This force is too strong to move.
màu xanh,blue,Bầu trời hôm nay thật màu xanh đẹp.,The sky is a beautiful blue today.
đối tượng,object,Đối tượng nghiên cứu là rất quan trọng.,The research object is very important.
quyết định,decide,Tôi sẽ quyết định vào cuối tuần này.,I will decide by the end of this weekend.
bề mặt,surface,Bề mặt của bàn rất mịn màng.,The surface of the table is very smooth.
sâu,deep,Cái hồ này rất sâu và lạnh.,This lake is very deep and cold.
mặt trăng,moon,Mặt trăng sáng vào ban đêm.,The moon is bright at night.
